Lens ID,Title,Publication Year,Source Country,Author/s,Keywords
023-552-859-302-512,Are There Effective Natural Remedies Against COVID-19 Virus and Long Covid Syndrome?,2023,,Doepp Doepp; Manfred Manfred,Covid-19 virus; long covid syndrome; Covid-19 vaccination consequences; pandemic natural therapy
023-647-773-910-930,Retrospective Diagnosis of SARS-CoV-2 Infection in Patients with Long COVID by Measuring Specific T Cell Mediated IL-2 Release (preprint),2021,,John Sinclair,SARS-CoV-2; Long COVID; memory T cells
023-659-620-355-284,Representation of long COVID syndrome in the awareness of the population is revealed by Google Trends analysis.,2022,United States,Martin Kaatz; Steffen Springer; Roger Schubert; Michael Zieger,COVID-19; Infodemiology; Long COVID; SARS-CoV-2; Search engine data
023-717-260-567-584,"Long COVID in Persons With Self-Reported Arthritis: Symptoms, Associated Factors, and Functional Limitations.",2023,United States,Debbie Ehrmann Feldman; Barbara Mazer,
023-898-332-403-016,Long COVID and Beyond,2022,,Ravindran Chetambath,
024-268-200-721-485,Replication Data for: The profile of research on Long-Covid: A survey,2023,,null 123,
024-475-417-475-483,Long covid update for primary care should acknowledge functional symptoms.,2022,United Kingdom,Peter W Ward,
024-644-132-254-243,Long COVID,2022,Netherlands,Zohreh Jadali,
024-660-531-010-828,Stellate ganglion block for anosmia and taste disturbance due to Long-COVID,2022,,Gaurav Chauhan,
024-675-052-367-282,Do vaccines protect against long COVID? What the data say.,2021,United Kingdom,Heidi Ledford,Infection; SARS-CoV-2; Vaccines
024-749-833-224-339,Reduction of Cardiac Autonomic Modulation and Increased Sympathetic Activity by Heart Rate Variability in Patients With Long COVID.,2022,Switzerland,Karina Carvalho Marques; Camilla Costa Silva; Steffany da Silva Trindade; Márcio Clementino de Souza Santos; Rodrigo Santiago Barbosa Rocha; Pedro Fernando da Costa Vasconcelos; Juarez Antônio Simões Quaresma; Luiz Fábio Magno Falcão,autonomic nervous system; coronavirus infection; heart rate; heart rate variability; long COVID
024-912-384-954-113,Patient Management and Rethinking Healthcare Amid Long COVID,2022,,Don L. Goldenberg; Marc A. Dichter,
024-968-787-247-889,The association between suspected long-COVID and stimulant prescribing in the United States.,2023,Netherlands,Ruston M Koonce; Bradley C Martin,Long–COVID; Stimulant
025-139-488-765-377,Long COVID Among the Children Admitted to the Department of Pediatrics in a Tertiary Care Centre,2025,,Manoj Chaudhary; Hem Sagar Rimal; Love Kumar Sah; Pankaj Chaudhary,
025-586-202-958-494,COVID delirium and long COVID,2024,,A. Mitchell,
025-744-257-231-461,Cutaneous long COVID.,2021,United Kingdom,Antonella Tammaro; Francesca Romana Parisella; Ganiyat Adenike Ralitsa Adebanjo,
025-789-028-111-000,Cognitive Rehabilitation for Long COVID,2025,,James Lewis; Joanne Wrench; Jodie McGregor; Karen Felder,
026-059-159-155-398,Neuroinflammation at the Dorsolateral Inferior Medulla: A Possible Central Nervous System Localization for POTS and Long COVID,2024,,Svetlana Blitshteyn,
026-209-252-630-588,"Long COVID Clinical Evaluation, Research and Impact on Society: A Global Expert Consensus",2024,,Andrew Ewing; David Joffe; Svetlana Blitshteyn; Anna  ES Brooks; Julien Wist; Yaneer Bar Yam; Stephane Bilodeau; Jennifer Curtin; Rae Duncan; Mark  A. Faghy; Leo Galland; Etheresia Pretorius; Spela Salamon; Danilo Buonsenso; Claire Hastie; Binita Kane; M.  Asad Khan; Amos Lal; Dennis Lau; C. Raina MacIntyre; Sammie Mcfarland; Daniel Munblit; Jeremy  K. Nicholson; Gunhild  Alviik Nyborg; David Putrino; Albert Rosario; Timothy Tan; Claire Taylor,
026-209-699-260-093,Pre-pandemic activity on a myalgic encephalomyelitis/chronic fatigue syndrome support forum is highly associated with later activity on a long COVID support forum for a variety of reasons: A mixed methods study.,2023,United States,William U Meyerson; Rick H Hoyle,
026-757-216-884-617,Deleterious Outcomes in Long-Hauler COVID-19: The Effects of SARS-CoV-2 on the CNS in Chronic COVID Syndrome.,2020,United States,Abdul Mannan Baig,COVID-19; SARS-CoV-2; chronic COVID syndrome; long-haulers; neurological findings in COVID-19
026-968-340-412-481,COVID-19 and Long-Term Sequelae,2022,,Youn Jeong Kim,
027-523-635-521-583,KARAKTERISTIK PENDERITA LONG COVID,2022,,Luciana Tati Suparti; null Maria Yunita Indriarini; Yosi Maria Wijaya,Characteristics; Long Covid; fatique; cough; fever
027-634-966-121-826,Bangkit Pascainfeksi: Dinamika Resiliensi pada Penyintas Covid-19,2021,,Yudi Kurniawan; Markus Nanang Irawan Budi Susilo,pandemic; COVID-19 survivors; resilience; long COVID; social stigma
027-888-223-716-642,Functional medical approach and management for long COVID,2023,,Sang-Hoon Lee; Sang Man Kim,
027-905-592-857-485,"Patient-made Long Covid changed COVID-19 (and the production of science, too)",2021,,Elisa Perego; Felicity Callard,citizen science; COVID-19; epistemology; experiential knowledge; Long Covid; Long-haulers; patient expertise; patient knowledge; patient-led research; SARS-CoV-2; symptoms
027-965-623-467-418,The impact of COVID-19 and Long COVID for pulmonary embolism patients undergoing anticoagulation prior to COVID-19: a multicenter cohort study during omicron pandemic,2024,,Yishan Li; Dingyi Wang; Linfeng Xi; Wanmu Xie; Zhenguo Zhai; Chen Wang,
027-976-046-752-473,"Effect of vaccination on time till Long COVID, a comparison of two ways to model effect of vaccination and two outcome definitions",2023,,Peter D Smits; Patricia J Rodriguez; Samuel Gratzl; Brianna M Goodwin Cartwright; Sarah Gilson; Ryan Lee; Charlotte Baker; Nicholas L Stucky,
028-026-231-861-919,Long COVID and chronic COVID syndromes.,2020,United States,Stephen J. Halpin; Rory J O’Connor; Manoj Sivan,
028-314-942-874-165,COVID-19: Entre Urgence et long Terme / COVID-19: Between Urgency and long Term,2020,,Mohammed Germouni,
028-795-822-851-890,"Update on endothelial dysfunction in COVID-19: severe disease, long COVID-19 and pediatric characteristics",2021,,Eleni Gavriilaki; Ioannis Eftychidis; Ioannis Papassotiriou,COVID-19; endothelial dysfunction; long COVID-19; pediatric; SARS-COV-2; thrombosis
028-854-414-893-546,Long-Covid: Symptomfragebogen,2022,Germany,,
029-300-366-940-441,Living with the Virus: An Autoethnography of Long COVID as Multilayered Traumatisation,2025,,Vivienne Matthies-Boon,
029-405-019-844-43X,Stellate ganglion block reduces symptoms of Long COVID: A case series.,2021,Netherlands,Luke D Liu; Deborah L Duricka,Cerebral blood flow; Dysautonomia; Long COVID/PASC; Myalgic encephalitis/chronic fatigue syndrome (ME/CFS); Postural orthopedic tachycardia syndrome (POTS); Stellate ganglion block; Postural orthostatic tachycardia syndrome (POTS)
029-412-576-702-579,Long COVID-19 Syndrome and its Effects on Various Systems: A Narrative Review,2023,India,Naved Bhurani; Roshan Umate; Seema Umate,
029-435-106-728-637,The Impact of Gut Microbiota on Long COVID: Insights and Challenges.,2024,,Irami Araujo-Filho; Amália Cinthia Meneses do Rêgo,
029-486-628-040-805,Rehabilitation Capacity for Long COVID Care in British Columbia,2025,,Pat Camp; Débora Melissa Petry Moecke; Sonya Cressman; Evan Kwong; Jennifer Yao; Chiara Singh; Carolyn Taylor,
029-784-926-983-524,Do Long COVID and COVID Vaccine Side Effects Share Pathophysiological Picture and Biochemical Pathways?,2025,Switzerland,Jean-François Lesgards; Dominique Cerdan; Christian Perronne,COVID vaccine side effects; complement pathway; immuno-inflammatory pathways; kininogen-kinin-kallikrein system; long COVID pathophysiology; long COVID predictors; oxidative stress; renin angiotensin pathway
029-789-832-075-261,The value of COVID-19 vaccination in the context of Long-COVID,2022,Germany,Stilla Bauernfeind; Barbara Schmidt,Breakthrough infection; COVID-19 vaccination; Long COVID/prevention; Long COVID/therapy; „Severe acute respiratory syndrome coronavirus type 2“ (SARS-CoV-2); Long-COVID-Prävention; Long-COVID-Therapie; COVID-19-Impfung; Durchbruchsinfektion
029-816-167-740-92X,What is really 'Long COVID'?,2023,Switzerland,Sandor Szabo; Oksana Zayachkivska; Alamdar Hussain; Veronika Muller,COVID-19; Clinical manifestations; Definitions; Long COVID; Pathogenesis
029-835-292-531-303,Extracting Long COVID Knowledge from LitCovid: A Glossary-Based Approach,2024,,Atsuko Yamaguchi; Reo Takeda; Yuka Tataeisi,
030-102-493-476-221,Leveraging on Rehabilitation in Long Covid Management,2021,,null Babatunde G Ogundunmade,Pneumonia; COVID-19; SARS-CoV-2; PHEIC; pandemic; Long COVID; leveraging; rehabilitation
030-155-636-268-34X,Fatigue at Long COVID,2021,Germany,Anna-Lena Weingärtner; Andreas Stengel,
030-162-830-424-436,THE SILENT THREAT: LONG-COVID'S CARDIAC CONSEQUENCES AND IMPLICATIONS FOR PATIENTS CARE,2023,,Dan Orga-Dumitriu,
030-231-807-149-567,Predicting Outcomes in Long COVID Patients with Spatiotemporal Attention,2023,,Degan Hao; Mohammadreza Negahdar,
030-666-357-644-247,Long COVID and fatigue,2025,,Benedita Teixeira Custódio Gonçalves Ferreira; Gonçalo Fernandes; Ana Rita Ribeiro; Catarina Sampaio; Inês Ribeiro; Cátia Saraiva; Helena Chaves Ramos; Sofia Barroso; Djamila Neves; Cláudia Guerreiro; Maria José Guimarães; Bebiana Conde; Jorge Ferreira; Marta Drummond; Lígia Pires,
030-964-075-368-526,Dampak Psikologis pada Perawat yang Mengalami Long Covid,2023,,Nurismi Aisyah; null Veny Elita; null Riri Novayelinda,
031-093-653-228-345,Hospital-Based Models of Care for Long COVID,2025,,Steven Faux; Louis Irving; Nada Hamad; Joanne Wrench,
031-255-255-915-544,Living with long Covid: some reflections 14 months down the line,2021,United Kingdom,Alison Twycross,
031-306-453-259-645,Long Covid: Untangling the Complex Syndrome and the Search for Therapeutics.,2022,Switzerland,Azizul Haque; Anudeep B Pant,Long Covid; autoimmunity; biomarkers; inflammation; therapeutics
031-307-829-878-466,,2021,,,
031-418-831-186-102,Vital Measurements of Hospitalized COVID-19 Patients as a Predictor of Long COVID: An EHR-based Cohort Study from the RECOVER Program in N3C,2022,,Sihang Jiang; Johanna Loomba; Suchetha Sharma; Donald Brown,
031-508-795-904-638,Long COVID,2026,France,Marie-Lise Gougeon; Dominique Salmon,
031-625-725-987-514,Introduction,2025,,Danielle Hitch; Joanne Wrench; Elyse McInerney; Jessica Lee; Karen Felder,
031-703-592-043-018,"Long COVID: new guide to recognition, support, and recovery",2022,,Sammie Mcfarland,
031-927-602-305-820,Candida and Long Covid,2024,,Patrick Chambers,
032-257-105-944-10X,Altered tryptophan absorption and metabolism could underlie long-term symptoms in survivors of coronavirus disease 2019 (COVID-19).,2021,Netherlands,Imdat Eroglu; Burcu Çelik Eroğlu; Gulay Sain Guven,Altered; Covid-19; Long-covid; Malabsorption; Metabolism; Tryptophan
032-325-213-797-508,Long Covid and Employment,2025,,Gary V. Engelhardt,
032-476-940-032-147,"Design, validation and implementation of the post-acute (long) COVID-19 quality of life (PAC-19QoL) instrument.",2021,United Kingdom,Ravi Jandhyala,COVID-19; Public health; Quality of life; Research methods; Statistics
032-690-549-548-746,"Development and validation of the long covid symptom and impact tools, a set of patient-reported instruments constructed from patients' lived experience",2021,,Viet-Thi Tran; Carolina Riveros; Berangere Clepier; Moïse Desvarieux; Camille Collet; Youri Yordanov; Philippe Ravaud,patient-reported outcome; COVID-19; long-covid
032-820-235-135-407,Long COVID and the development of new-onset uveitis: a large database study,2025,,Qais A. Dihan; Nayef Alshammari; Abdelrahman M. Elhusseiny; Kaersti L. Rickels; Ahmed F. Shakarchi; Muhammad Z. Chauhan; Ahmed B. Sallam,
033-082-627-026-693,Long-COVID following mild SARS CoV-2 infection: characteristic T cell alterations and response to antihistamines,2021,,Paul Glynne; Natasha Tahmasebi; Vanya A. Gant; Rajeev Gupta,
033-315-073-795-953,Long-Haul COVID.,2020,United States,Avindra Nath,
033-634-832-718-907,The Long COVID Conundrum.,2021,United States,Adam Gaffney,
033-867-640-775-20X,COVID-19: long covid and its societal consequences.,2021,United Kingdom,Harald Brüssow; Kenneth N. Timmis,
033-919-020-228-522,"Unpacking ""long COVID"".",2021,Canada,Terry Murray,
034-089-673-326-580,"Covid-19: One in eight adults develops long covid symptoms, study suggests.",2022,United Kingdom,Elisabeth Mahase,
034-305-854-221-423,Patient-Led Research Collaborative: embedding patients in the Long COVID narrative,2021,United States,Lisa McCorkell; Gina S. Assaf; Hannah E. Davis; Hannah Wei; Athena Akrami,COVID-19; Long COVID; Long haulers; Patient-centered; Patient-centric; Patient-led research; Post COVID-19 syndrome; Post-acute sequelae of SARS-CoV-2 infection
034-745-846-327-745,Risk factors and clinical presentations of long COVID in Africa: A scoping review.,2023,Netherlands,Enos Moyo; Munashe Chimene; Perseverance Moyo; Godfrey Musuka; Derek Mangoya; Grant Murewanhema; Tafadzwa Dzinamarira,Africa; COVID-19; Clinical presentations; Long COVID; Risk factors
034-998-404-872-143,"State Health Department Communication about Long COVID in the United States on Facebook: Risks, Prevention, and Support.",2022,Switzerland,Linnea I Laestadius; Jeanine P D Guidry; Andrea Bishop; Celeste Campos-Castillo,COVID-19; Facebook; health communication; health departments; long COVID; social media; social networks
035-357-772-326-978,Unlocking the Mysteries of Long COVID in Children and Young People: Insights from a Policy Review and Social Media Analysis in the UK,2023,,Noémie Déom; Ahmad Firas Khalid; Sam Martin; Macarena Chepo; Cecilia Vindrola-Padros,
036-218-534-707-106,Długi Covid — patofizjologia i leczenie,2021,,Justyna Szrajda,
036-284-684-358-613,Symptoms and management of long COVID: A scoping review.,2021,United Kingdom,Chiyoung Cha; Gumhee Baek,long COVID; management; scoping review; symptoms
036-751-681-493-182,"Cortical Grey Matter Volume Loss links to Neurological Sequelae in post COVID-19 ""Long Haulers""",2022,,Ted L. Rothstein,
036-849-978-809-550,"Long COVID: And the fire rages on"".""",2021,India,Awatansh Kumar Rajkumar Tripathi; Lancelot Pinto,Long COVID; long hauler; post-COVID complications; post-COVID fibrosis; post-COVID sequelae; post-COVID syndrome
037-114-343-777-558,Coronavirus: Long Covid,2021,,Carl Baker; Esme Kirk-Wade; Sarah Barber; Tom Powell,
037-223-252-206-023,"Covid and Long Covid, In the Search for Answers",2021,,Richard Aguirre,
037-557-663-976-639,Assessing the Effects of Long-COVID on Mental Health in the United States: A Population Based Study,2024,,Anusua Datta,
037-651-387-110-142,The Long Covid pandemic,2021,United States,Gemma Alderton,
037-751-528-322-826,Caring for Long Covid patients in Belgian primary care.,2023,Netherlands,Sarah Moreels; Sherihane Bensemmane; Robrecht De Schreye,
038-262-659-266-165,Research priorities for Long Covid: refined through an international multi-stakeholder forum.,2021,United Kingdom,Gail Carson,Coronavirus research; GloPID-R; ISARIC; Long Covid; Long Covid Support Group; WHO R&D COVID-19 Research Agenda
038-397-110-484-972,"Does the Collaborative Consensus Guidance Statement put the exercise cart"" before the pacing and pharmacological ""horses"" in long COVID/PASC?""",2021,United States,Simon Décary; Darren A. Brown; Todd E. Davenport; Etienne Ngeh,
038-666-464-978-518,Long-COVID Headache.,2021,Switzerland,Paolo Martelletti; Enrico Bentivegna; Valerio Spuntarelli; Michelangelo Luciani,Classification; Long-Covid-19; Neurological sequalae; Pain; Peristent headache
